sto,ocp
0.0696982969709636,0.555384520000000
0.0929554246106698,0.456129310000000
0.116212257932680,0.386669780000000
0.139469203361880,0.316446720000000
0.162726142491719,0.263192500000000
0.185983453318722,0.227594240000000
0.209241093427514,0.218317700000000
0.232499231264265,0.215702710000000
0.255757019481569,0.207743210000000
0.279014592485127,0.187605860000000
0.302272997529642,0.169892620000000
0.325530732980926,0.159222690000000
0.348788872396442,0.148094650000000
0.372047268167251,0.138760850000000
0.395305560582361,0.134523420000000
0.418564255572524,0.132748280000000
0.441822296888432,0.132290170000000
0.465080501594691,0.131793900000000
0.488339069921923,0.131641190000000
0.511598803923236,0.131144930000000
0.534857222613575,0.130591390000000
0.558115495358131,0.129980580000000
0.581373291105265,0.127785520000000
0.604630163104889,0.116275730000000
0.627887610855493,0.0947258990000000
0.651145121677869,0.0923399630000000
0.674402815970607,0.0918627680000000
0.697660309670634,0.0916337220000000
0.720916984520472,0.0916337220000000
0.744174560823524,0.0914428460000000
0.767430774659930,0.0913092340000000
0.790687937712063,0.0911374460000000
0.813945255953368,0.0910610930000000
0.837202497664446,0.0909083930000000
0.860459379135800,0.0905839060000000
0.883716879684184,0.0903739410000000
0.906973588411157,0.0899731070000000
0.930230354380757,0.0895913540000000
0.953486493739886,0.0887133260000000
0.976743232402104,0.0864228230000000
1,0.0756383610000000
