# Based on the LGM50 drive cycle,
# time [s],current [A]
212,2.37979700000000
213,2.91432100000000
214,1.93194500000000
215,2.96330200000000
216,1.97253400000000
217,1.97207600000000
218,1.97238100000000
219,1.97299200000000
220,2.48981500000000
221,1.99298100000000
222,1.99359100000000
223,1.99328600000000
224,1.99282800000000
225,1.99343900000000
226,-0.268101000000000
227,-0.482643000000000
228,-0.0831620000000000
229,1.21965400000000
230,1.20347900000000
231,1.18761000000000
232,1.65102600000000
233,1.65102600000000
234,1.65102600000000
235,1.65102600000000
236,1.65056800000000
237,2.13443200000000
238,1.18837300000000
239,2.62043200000000
240,1.20424200000000
241,2.15442100000000
242,1.20408900000000
243,1.18776200000000
244,2.13321100000000
245,2.64210000000000
246,2.68741900000000
247,2.73258600000000
248,2.77836300000000
249,2.82444500000000
250,2.87174800000000
251,2.91981400000000
252,2.96833800000000
253,1.97726400000000
254,3.01594600000000
255,3.06569000000000
256,2.05920500000000
257,2.58564100000000
258,2.60914000000000
259,2.10238800000000
260,2.10193000000000
261,2.10177800000000
262,1.57579900000000
263,2.08087300000000
264,1.55596200000000
265,2.05935800000000
266,1.53780400000000
267,2.03875800000000
268,1.51873000000000
269,1.49935100000000
270,2.51728100000000
271,0.985122000000000
272,1.97650100000000
273,1.46303500000000
274,1.44457200000000
275,1.93591200000000
276,1.42687100000000
277,1.40856000000000
278,1.39116500000000
279,1.37361700000000
280,1.85702300000000
281,0.857862000000000
282,1.32036300000000
283,1.79903900000000
284,1.30403600000000
285,1.28618300000000
286,2.25680900000000
287,2.27679900000000
288,1.79934400000000
289,2.29816100000000
290,1.81780700000000
291,1.81826500000000
292,2.31937100000000
293,1.83733900000000
294,1.83703400000000
295,2.34058100000000
296,1.35591700000000
297,2.34149700000000
298,1.35545900000000
299,2.34134400000000
300,1.85656500000000
301,1.85717600000000
302,1.35576400000000
303,0.841993000000000
304,1.30373100000000
305,0.312047000000000
306,0.274662000000000
307,2.15350600000000
308,1.68627500000000
309,2.17364800000000
310,1.70565300000000
311,2.19455300000000
312,1.23643900000000
313,1.70565300000000
314,2.19409500000000
315,2.70954500000000
316,1.76134900000000
317,2.75486400000000
318,2.29800900000000
319,2.31921900000000
320,2.34042900000000
321,1.85763300000000
322,2.36270700000000
323,1.87594400000000
324,1.87624900000000
325,2.99885600000000
326,1.20943000000000
327,1.89227100000000
328,2.60593600000000
329,1.20943000000000
330,3.32860300000000
331,1.23384500000000
332,1.92019500000000
333,2.63843700000000
334,1.23415000000000
335,2.63859000000000
336,1.23399700000000
337,1.91989000000000
338,2.63859000000000
339,1.23369200000000
340,1.91989000000000
341,1.92065300000000
342,1.92050000000000
343,1.91943200000000
344,1.92050000000000
345,1.20927700000000
346,1.89242400000000
347,2.60639400000000
348,0.506905000000000
349,2.57511300000000
350,1.18577900000000
351,2.57526500000000
352,1.18593100000000
353,1.86480500000000
354,2.57480700000000
355,1.18577900000000
356,2.57557000000000
357,1.89227100000000
358,1.89272900000000
359,2.60624100000000
360,1.20958300000000
361,2.60608800000000
362,1.91989000000000
363,1.92065300000000
364,2.63889500000000
365,1.94842500000000
366,2.77454800000000
367,1.98031600000000
368,1.98046800000000
369,2.70801900000000
370,2.00930800000000
371,2.00946100000000
372,2.00915500000000
373,2.01007100000000
374,2.00976600000000
375,2.00961300000000
376,2.01037600000000
377,2.74067300000000
378,2.03875800000000
379,1.31181800000000
380,2.74021500000000
381,2.03906300000000
382,2.03799500000000
383,2.03784200000000
384,2.03860500000000
385,2.03875800000000
386,2.03860500000000
387,2.03860500000000
388,2.03875800000000
389,2.77393800000000
390,2.06744500000000
391,2.06775000000000
392,2.06805500000000
393,2.80674400000000
394,2.09826800000000
395,2.09796300000000
396,2.94773800000000
397,1.28664100000000
398,2.94758500000000
399,1.28648800000000
400,2.09781000000000
401,0.634775000000000
402,1.31120800000000
403,0.469520000000000
404,1.94842500000000
405,1.23399700000000
406,1.20943000000000
407,1.89242400000000
408,1.18593100000000
409,1.86526300000000
410,1.86480500000000
411,1.16273700000000
412,1.83703400000000
413,1.83718600000000
414,1.83733900000000
415,1.83749100000000
416,2.23987200000000
417,1.85259800000000
418,2.66285200000000
419,1.88403100000000
420,3.42229300000000
421,2.66529300000000
422,1.97192300000000
423,1.25459700000000
424,1.12886200000000
425,1.20256400000000
426,1.07866000000000
427,1.85336100000000
428,1.15236100000000
429,0.343023000000000
430,0.208591000000000
431,1.70885800000000
432,2.49362900000000
433,1.73861300000000
434,1.73815500000000
435,0.959030000000000
436,-0.195010000000000
437,0.212558000000000
438,0.826734000000000
439,0.160525000000000
440,-0.244907000000000
441,-0.601205000000000
442,-1.84359500000000
443,-2.10071000000000
444,-2.10086200000000
445,-0.877089000000000
446,0.227512000000000
447,1.69741400000000
448,2.81529000000000
449,2.94865300000000
450,1.42015700000000
451,1.96994000000000
452,2.02227800000000
453,-0.0973530000000000
454,1.41222200000000
455,1.50789700000000
456,-0.0975050000000000
457,1.41191700000000
458,1.50820200000000
459,2.62699300000000
460,2.23575200000000
461,2.21500000000000
462,1.61715100000000
463,1.07042000000000
464,2.29907700000000
465,1.77172500000000
466,2.98832700000000
467,1.87380800000000
468,2.51117700000000
469,1.86892500000000
470,1.98245200000000
471,0.610666000000000
472,1.98230000000000
473,2.01205500000000
474,0.630045000000000
475,2.63691200000000
476,0.734722000000000
477,1.33073900000000
478,2.67200700000000
479,0.666972000000000
480,-0.318151000000000
481,2.69214900000000
482,1.95147600000000
483,2.70176200000000
484,3.51262700000000
485,1.47371600000000
486,0.113832000000000
487,-0.303655000000000
488,-0.317998000000000
489,-0.290379000000000
490,1.81628100000000
491,2.53971200000000
492,1.98214700000000
493,2.63691200000000
494,1.35256000000000
495,2.70176200000000
496,0.773480000000000
497,2.73701100000000
498,2.06500300000000
499,2.18371900000000
500,2.12146200000000
501,1.49736800000000
502,0.128481000000000
503,0.0975050000000000
504,-0.603952000000000
505,-0.326696000000000
506,-0.298619000000000
507,1.17418200000000
508,3.76150100000000
509,3.28801400000000
510,2.67185500000000
511,2.73716300000000
512,2.80430300000000
513,2.12253000000000
514,2.90409700000000
515,2.30350200000000
516,2.24124500000000
517,2.36621700000000
518,2.30243400000000
519,1.65407800000000
520,0.229038000000000
521,0.193790000000000
522,0.896925000000000
523,1.52498700000000
524,0.784771000000000
525,-0.592203000000000
526,0.772869000000000
527,0.666667000000000
528,1.35240700000000
529,2.06775000000000
530,1.37727900000000
531,1.37712700000000
532,1.37743200000000
533,1.37727900000000
534,0.666667000000000
535,1.35179700000000
536,2.06744500000000
537,2.73670600000000
538,1.42504000000000
539,1.42534500000000
540,0.704967000000000
541,0.773175000000000
542,0.0538640000000000
543,-0.651865000000000
544,-0.298772000000000
545,0.508431000000000
546,0.573739000000000
547,-0.0436410000000000
548,-0.362402000000000
549,-0.629587000000000
550,-1.42626100000000
551,-2.05020200000000
552,-2.10086200000000
553,-1.96231000000000
554,-1.14457900000000
555,-0.635386000000000
556,-0.305943000000000
557,-0.704814000000000
558,-0.160525000000000
559,-0.157321000000000
560,0.704509000000000
561,1.03746100000000
562,2.02716100000000
563,1.52895400000000
564,2.01541200000000
565,2.53620200000000
566,2.74906500000000
567,2.08239900000000
568,3.18059100000000
569,2.37598200000000
570,3.51094800000000
571,2.68604600000000
572,2.81483200000000
573,3.55382600000000
574,3.12474300000000
575,2.62623000000000
576,3.45555800000000
577,2.27191600000000
578,2.92088200000000
579,1.15251400000000
580,2.41657100000000
581,1.87441800000000
582,2.51148200000000
583,0.575418000000000
584,-0.298619000000000
585,-0.349889000000000
586,-0.626841000000000
587,0.166629000000000
588,1.00389100000000
589,1.00389100000000
590,1.79720800000000
591,1.02906800000000
592,1.83062500000000
593,1.45754200000000
594,1.47310600000000
595,1.08064400000000
596,1.48851800000000
597,1.09483500000000
598,1.91699100000000
599,1.12169100000000
600,1.53536300000000
601,1.55062200000000
602,1.56649100000000
603,1.16243200000000
604,2.00610400000000
605,1.19111900000000
606,1.19081400000000
607,1.61547300000000
608,1.63180000000000
609,1.21980600000000
610,1.21980600000000
611,1.56206600000000
612,1.23125000000000
613,1.23170800000000
614,1.66094500000000
615,0.819257000000000
616,1.23140300000000
617,1.66094500000000
618,0.818799000000000
619,1.66109700000000
620,0.818494000000000
621,0.890669000000000
622,1.56145600000000
623,0.891127000000000
624,1.56191300000000
625,0.891127000000000
626,1.21980600000000
627,1.56206600000000
628,0.890822000000000
629,1.21995900000000
630,1.22011100000000
631,1.56160800000000
632,0.890822000000000
633,1.21995900000000
634,1.99298100000000
635,0.818647000000000
636,2.09460600000000
637,1.26100600000000
638,1.69405700000000
639,1.71175700000000
640,2.17029100000000
641,1.76302700000000
642,2.22873300000000
643,1.81567100000000
644,2.74647100000000
645,2.34866900000000
646,2.29648300000000
647,2.89875600000000
648,2.48981500000000
649,2.05355900000000
650,3.03913900000000
651,2.13366900000000
652,2.64255700000000
653,2.19394200000000
654,2.21438900000000
655,2.73273800000000
656,1.77996500000000
657,2.67780600000000
658,1.81445000000000
659,2.31509900000000
660,1.83413400000000
661,1.83337100000000
662,1.83367700000000
663,2.33661400000000
664,1.35149200000000
665,1.83382900000000
666,1.83398200000000
667,1.83337100000000
668,1.33440100000000
669,1.31731100000000
670,1.39833700000000
671,1.28648800000000
672,1.27000800000000
673,1.74258000000000
674,0.768292000000000
675,1.70519600000000
676,1.70534800000000
677,1.70565300000000
678,1.70519600000000
679,1.70595900000000
680,0.357366000000000
681,1.27031400000000
682,1.92858800000000
683,2.23071600000000
684,2.15747300000000
685,2.27588300000000
686,2.20233500000000
687,2.42084400000000
688,2.35172000000000
689,2.17776800000000
690,2.29327800000000
691,2.01419100000000
692,1.72198100000000
693,1.32051600000000
694,1.20470000000000
695,1.18547300000000
696,1.36095200000000
697,2.23117400000000
698,2.15274300000000
699,1.67345700000000
700,1.27657000000000
701,1.35759500000000
702,2.02960300000000
703,2.14068800000000
704,2.15686300000000
705,2.17334200000000
706,1.89028800000000
707,1.79522400000000
708,1.99404900000000
709,2.20157200000000
710,2.62226300000000
711,2.65888500000000
712,2.59250800000000
713,2.83070100000000
714,2.87312100000000
715,2.29175200000000
716,2.40833100000000
717,2.74052000000000
718,2.66865000000000
719,1.64477000000000
720,1.31807400000000
721,1.19050900000000
722,1.57274700000000
723,2.07171700000000
724,1.45937300000000
725,0.832380000000000
726,0.898146000000000
727,1.46593400000000
728,2.05462700000000
729,2.06210400000000
730,1.06599500000000
731,0.941176000000000
732,1.60402800000000
733,1.99374400000000
734,1.40535600000000
735,0.803540000000000
736,0.774090000000000
737,1.71252000000000
738,2.20233500000000
739,2.12436100000000
740,1.35362800000000
741,1.14610500000000
742,0.838331000000000
743,0.243229000000000
744,0.675364000000000
745,1.30388300000000
746,1.57686700000000
747,1.38780800000000
748,1.75814500000000
749,1.85977000000000
750,2.83085400000000
751,3.08690000000000
752,3.06034900000000
753,3.02830500000000
754,2.98939500000000
755,2.74204600000000
756,2.47760700000000
757,2.19775700000000
758,1.90402100000000
759,1.70122800000000
760,1.79552900000000
761,1.89257600000000
762,1.99389600000000
763,2.09918400000000
764,1.90478400000000
765,1.39757400000000
766,1.07866000000000
767,0.953689000000000
768,1.22179000000000
769,1.79522400000000
770,1.30052600000000
771,1.28313100000000
772,1.16884100000000
773,-0.785382000000000
774,-0.174258000000000
775,0.885328000000000
776,0.227207000000000
777,1.46486600000000
778,0.826886000000000
779,2.08285600000000
780,0.827039000000000
781,0.807813000000000
782,1.41908900000000
783,2.05676400000000
784,0.181735000000000
785,2.02975500000000
786,1.41863100000000
787,2.70222000000000
788,2.10956000000000
789,3.46044100000000
790,2.22049300000000
791,2.24933200000000
792,3.64156600000000
793,2.36575900000000
794,2.39536100000000
795,3.02311700000000
796,2.48127000000000
797,3.22179000000000
798,2.57526500000000
799,2.60700400000000
800,3.36522500000000
801,2.70283100000000
802,2.73594300000000
803,2.03433300000000
804,1.30830900000000
805,1.28282600000000
806,1.25841200000000
807,-0.0842300000000000
808,0.467689000000000
809,0.429999000000000
810,-0.0892650000000000
811,0.342260000000000
812,-0.484016000000000
813,-0.500038000000000
814,-0.214237000000000
815,2.00335700000000
816,2.02945000000000
817,2.05615300000000
818,2.08316200000000
819,2.11032300000000
820,3.46074600000000
