t,V_mean,V_std,T_mean,T_std
0,3.95270000000000,0.00781024967590656,26.5413666666667,0.255224574313159
4.78381188594298,3.90764893570710,0.00726798282092245,26.5370195090730,0.257586183120725
9.56762377188596,3.89154217644724,0.00709725372107493,26.5570055923925,0.248166693041540
14.3514356578289,3.87938535320009,0.00711706318412489,26.6019356044235,0.257682586599206
19.1352475437719,3.86958635471556,0.00712732239304399,26.6827716771905,0.261455132846847
23.9190594297149,3.86143997643139,0.00711527178230905,26.7666208410519,0.265600334119636
28.7028713156579,3.85433066717386,0.00708902814982274,26.8601004925948,0.270481644577331
33.4866832016008,3.84813265750390,0.00707744020641577,26.9750648592769,0.285006354878110
38.2704950875438,3.84287524607773,0.00710906549735947,27.0847911898873,0.293967990150574
43.0543069734868,3.83794888041934,0.00698412184624333,27.1901709443656,0.299920905043696
47.8381188594298,3.83372238502186,0.00706252237100707,27.2960821752850,0.302437394613544
52.6219307453728,3.82981398414970,0.00708742171371067,27.4025557097058,0.301628837598082
57.4057426313157,3.82605596516659,0.00721313970811546,27.5122872740624,0.297055100326024
62.1895545172587,3.82314590941588,0.00720126238566409,27.6313910803201,0.285006661809289
66.9733664032017,3.82031852180250,0.00714339597386129,27.7510640075071,0.273362391578422
71.7571782891447,3.81749113418912,0.00708576734252313,27.8707369346942,0.262448544806434
76.5409901750876,3.81504297800047,0.00718739590700974,27.9853461792465,0.263778396071367
81.3248020610306,3.81293516333885,0.00717172462667042,28.1030499893656,0.276341231050784
86.1086139469736,3.81082734867722,0.00715660409010734,28.2207537994846,0.288911049939310
90.8924258329166,3.80871953401559,0.00714203779529090,28.3384576096036,0.301486979203240
95.6762377188596,3.80667420614011,0.00717016418180582,28.4557799456189,0.314647318270101
100.460049604803,3.80489513272910,0.00724375174182042,28.5695712350082,0.325862533352396
105.243861490746,3.80333242084636,0.00719211504999269,28.6786846687800,0.331437466147941
110.027673376688,3.80176970896362,0.00714067471078739,28.7877981025518,0.337076870557839
114.811485262631,3.80020699708087,0.00708943499836014,28.8969115363236,0.342777564520112
119.595297148574,3.79864428519813,0.00703840029441413,29.0060249700955,0.348536540675982
124.379109034517,3.79708902012620,0.00699255667721537,29.1154334394192,0.353885917616045
129.162920920460,3.79566265686463,0.00702926668356068,29.2294524777480,0.352639000291449
133.946732806403,3.79438165834851,0.00705480894298600,29.3444446847930,0.349383445647193
138.730544692346,3.79310065983238,0.00708041468152438,29.4594368918380,0.346379204165374
143.514356578289,3.79181966131626,0.00710608321296221,29.5744290988830,0.343632867293503
148.298168464232,3.79053866280013,0.00713181385929491,29.6894213059280,0.341150663652660
153.081980350175,3.78925766428401,0.00715760595063806,29.8044135129730,0.338938396404311
157.865792236118,3.78799358057782,0.00719479714932655,29.9123649303812,0.348816237056954
162.649604122061,3.78677739480477,0.00717348675441715,30.0209494802554,0.364116720814708
167.433416008004,3.78557081114020,0.00713694795719926,30.1298981382845,0.380301047060772
172.217227893947,3.78436422747564,0.00710041212543255,30.2388467963136,0.396967441295574
177.001039779890,3.78315764381107,0.00706387930513109,30.3477954543427,0.414057695903078
181.784851665833,3.78195106014651,0.00702734954326135,30.4567441123718,0.431521453300940
186.568663551776,3.78076956351746,0.00700768698728889,30.5671366686673,0.446817083980149
191.352475437719,3.77963130114134,0.00702499690037740,30.6780948407071,0.459596690273183
196.136287323662,3.77850444767487,0.00705428873319545,30.7889198160648,0.472421270946593
200.920099209605,3.77737759420840,0.00708368678329821,30.8997447914225,0.485286436534243
205.703911095548,3.77625074074194,0.00711318973373196,31.0105697667802,0.498189042868263
210.487722981491,3.77512388727547,0.00714279628464015,31.1213947421379,0.511126254552116
215.271534867434,3.77399030283752,0.00716768706496640,31.2333141734591,0.522199973930703
220.055346753377,3.77283151034917,0.00717688149920919,31.3431205985227,0.523025256288601
224.839158639320,3.77166213411039,0.00718604240613185,31.4426610931761,0.514938231411522
229.622970525263,3.77049275787160,0.00719520342931383,31.5422015878295,0.506930014944564
234.406782411206,3.76932338163282,0.00720436456831213,31.6417420824829,0.499004401146088
239.190594297149,3.76815400539403,0.00721352582268468,31.7412825771363,0.491165388747662
243.974406183092,3.76698462915524,0.00722268719199362,31.8408230717897,0.483417190709145
248.758218069035,3.76578490065546,0.00720901046956955,31.9344396735086,0.488164600800934
253.542029954978,3.76453584257842,0.00717443091491047,32.0374644923637,0.500822304212773
258.325841840921,3.76328673614154,0.00713999355536551,32.1404971696938,0.513533102291745
263.109653726864,3.76203762970465,0.00710561593530867,32.2435298470239,0.526286144495095
267.893465612807,3.76078852326777,0.00707129892602262,32.3465625243540,0.539078432708423
272.677277498750,3.75953941683088,0.00703704341423512,32.4495952016842,0.551907237967540
277.461089384693,3.75828275232870,0.00699731488729796,32.5520194547577,0.565823813064199
282.244901270636,3.75699936019026,0.00698419123589156,32.6539164501365,0.580020304933775
287.028713156579,3.75570773098106,0.00698284065464693,32.7560827259807,0.594489948160294
291.812525042522,3.75441610177185,0.00698152623351434,32.8582490018248,0.608979220780266
296.596336928465,3.75312447256265,0.00698024799291961,32.9604152776689,0.623486754286723
301.380148814408,3.75183284335344,0.00697900595274343,33.0625815535130,0.638011302995633
306.163960700351,3.75051783635868,0.00696031805844959,33.1662650476399,0.649926190091135
310.947772586294,3.74913414614097,0.00694666808230715,33.2690219387638,0.655684787016555
315.731584472237,3.74770963326827,0.00697168685699878,33.3677279240104,0.657788546869488
320.515396358180,3.74628512039556,0.00699677365256593,33.4664339092571,0.660211218586799
325.299208244123,3.74486060752286,0.00702192773996775,33.5651398945037,0.662949305897915
